"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"1866",2017,"340446","5913 La Crosse Ave, Austin, TX 78739","5913 La Crosse Ave, Austin, TX 78739",89516,"","1992",0,NA,"",NA,NA,NA,NA,"5913 La Crosse Ave
Austin, TX 78739
(30.192193, -97.881492)","AISD","30.192193, -97.881492",30.192193,-97.881492
"1867",2017,"530403","3512 MONTOPOLIS DR, AUSTIN TX, 78744","3512 Montopolis Dr",15000,"WAREHOUSE (W/sqft > 5)","2002",NA,NA,"05/15/2017 12:00:00 AM",NA,15000,NA,NA,"3512 MONTOPOLIS DR
AUSTIN, TX 78744
(30.207299, -97.715539)","Blue Ocean Energy","30.207299, -97.715539",30.207299,-97.715539
"1868",2017,"292506","4000 CAVEN RD, AUSTIN TX, 78744","4000 CAVEN RD, AUSTIN TX, 78744",27270,"INDUSTRIAL","2002",6.422,33.33,"",NA,NA,NA,NA,"4000 CAVEN RD
AUSTIN, TX 78744
(30.207396, -97.728709)","Austin Electrical Training Alliance","30.207396, -97.728709",30.207396,-97.728709
"1869",2017,"734719","9600 ESCARPMENT BLVD, AUSTIN TX, 78749","Escarpment Village Bldg F",20053,"RETAIL CENTER","2005",NA,NA,"05/17/2017 12:00:00 AM",NA,11264,NA,NA,"9600 ESCARPMENT BLVD
AUSTIN, TX 78749
(30.203667, -97.878534)","Blue Ocean Energy","30.203667, -97.878534",30.203667,-97.878534
"1870",NA,"296215, 296216","4800 SHAW LA, AUSTIN TX, 78744","PSTC Bldg I",110980,"OFFICE LG > 35000",".",NA,NA,"05/18/2017 12:00:00 AM",43,9937,NA,NA,"4800 SHAW LA
AUSTIN, TX 78744
(30.185961, -97.705235)","City of Austin","30.185961, -97.705235",30.185961,-97.705235
"1871",2017,"282729","300 E Monroe St, Austin TX 78704","300 E Monroe St, Austin TX 78704",17200,"CONGREGATION FACILITY","1970",4.284,30.77,"",NA,NA,NA,NA,"300 E Monroe St
Austin, TX 78704
(30.247221, -97.747867)","CHRIST LUTHERAN CHURCH","30.247221, -97.747867",30.247221,-97.747867
"1872",2017,"105301","601 N LAMAR BLVD, AUSTIN TX, 78703","601 N LAMAR BLVD, AUSTIN TX, 78703",106397,"RETAIL CENTER","1994",19.785,62.98,"",NA,NA,NA,NA,"601 N LAMAR BLVD
AUSTIN, TX 78703
(30.272596, -97.753424)","Schlosser Development","30.272596, -97.753424",30.272596,-97.753424
"1873",2017,"863310, 845139","11600 ALTERRA PARKWAY AUSTIN TX 78758","Domain 4",292000,"RETAIL CENTER","2016",NA,NA,"04/24/2017 12:00:00 AM",NA,152992,NA,NA,"11600 ALTERRA PARKWAY
AUSTIN, TX 78758
(30.401684, -97.719672)","Blue Ocean Energy","30.401684, -97.719672",30.401684,-97.719672
"1874",2017,"312563, 312565","3701 WOODBURY DR Austin TX 78704","3701 WOODBURY DR Austin TX 78704",114568,"EDUCATIONAL FACILITY","1986",18.331,92.05,"",NA,NA,NA,NA,"3701 WOODBURY DR
Austin, TX 78704
(30.22522, -97.759688)","AISD","30.22522, -97.759688",30.22522,-97.759688
"1875",2017,"817805","4544 S LAMAR 700 BLVD AUSTIN TX 78704","4544 S LAMAR 700 BLVD AUSTIN TX 78704",16352,"OFFICE LG > 35000","1986",4.667,NA,"",NA,NA,NA,NA,"4544 S LAMAR 700 BLVD
AUSTIN, TX 78704
(30.233171, -97.799769)","CBRE on behalf of LGP Barton Ridge LLC","30.233171, -97.799769",30.233171,-97.799769
"1876",2017,"220934, 223760","6401 N HAMPTON DR, AUSTIN TX, 78723","Bertha Means Young Woman's Academy",134132,"EDUCATIONAL FACILITY","1958",NA,NA,"05/05/2017 12:00:00 AM",50.5,134132,NA,NA,"6401 N HAMPTON DR
AUSTIN, TX 78723
(30.314462, -97.681135)","LPB Energy","30.314462, -97.681135",30.314462,-97.681135
"1877",2017,"232885","8601 TUSCANY WAY, AUSTIN TX, 78754","8601 TUSCANY WAY, AUSTIN TX, 78754",156310,"WAREHOUSE","1987",5.452,10.26,"",NA,NA,NA,NA,"8601 TUSCANY WAY
AUSTIN, TX 78754
(30.332701, -97.658987)","Austin Shared Logistics LLC","30.332701, -97.658987",30.332701,-97.658987
"1878",NA,"188565","4701 E 5 ST, AUSTIN TX, 78702","4701 E. 5th St, Bldg 2",49434,"INDUSTRIAL","1961",NA,NA,"05/18/2017 12:00:00 AM",10.3,15195,NA,NA,"4701 E 5 ST
AUSTIN, TX 78702
(30.253751, -97.702832)","Blue Ocean Energy","30.253751, -97.702832",30.253751,-97.702832
"1879",2017,"479946","4201 PARMER LA, AUSTIN TX, 78727","4201 PARMER LA, AUSTIN TX, 78727",29446,"OFFICE LG > 35000","2000",7.09,9.25,"",NA,NA,NA,NA,"4201 PARMER LA
AUSTIN, TX 78727
(30.42654, -97.717466)","Ogle Properties","30.42654, -97.717466",30.42654,-97.717466
"1880",2017,"291768","4211 FREIDRICH LA, AUSTIN TX, 78744","4211 FREIDRICH LA, AUSTIN TX, 78744",77220,"INDUSTRIAL","1981",13.96,85.42,"",NA,NA,NA,NA,"4211 FREIDRICH LA
AUSTIN, TX 78744
(30.211638, -97.748611)","Stream Realty Partners","30.211638, -97.748611",30.211638,-97.748611
"1881",2017,"255886","3015 INDUSTRIAL TER, AUSTIN TX, 78758","3015 INDUSTRIAL TER, AUSTIN TX, 78758",13600,"INDUSTRIAL","1962",4.385,21.67,"",NA,NA,NA,NA,"3015 INDUSTRIAL TER
AUSTIN, TX 78758
(30.380312, -97.730258)","GASTON BILL ENTERPRISES Inc","30.380312, -97.730258",30.380312,-97.730258
"1882",2017,"442955","2311 W RUNDBERG LA, AUSTIN TX, 78758","2311 W RUNDBERG LA, AUSTIN TX, 78758",73440,"INDUSTRIAL","1995",13.798,67.08,"",NA,NA,NA,NA,"2311 W RUNDBERG LA
AUSTIN, TX 78758
(30.378795, -97.721578)","Live Oak Gottesman","30.378795, -97.721578",30.378795,-97.721578
"1883",2017,"244003","7800 SHOAL CREEK BLVD, AUSTIN TX, 78757","7800 SHOAL CREEK BLVD, AUSTIN TX, 78757",157282,"OFFICE LG > 35000","1974",14.343,20.89,"",NA,NA,NA,NA,"7800 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.360107, -97.740984)","Peloton Commercial Real Estate","30.360107, -97.740984",30.360107,-97.740984
"1884",2017,"294846","5701 S PLEASANT VALLEY RD, AUSTIN TX, 78744","5701 S PLEASANT VALLEY RD, AUSTIN TX, 78744",187110,"EDUCATIONAL FACILITY","1987",12.173,42.38,"",NA,NA,NA,NA,"5701 S PLEASANT VALLEY RD
AUSTIN, TX 78744
(30.189702, -97.745055)","AISD","30.189702, -97.745055",30.189702,-97.745055
"1885",2017,"244092","3300 W ANDERSON LA, AUSTIN TX, 78757","3300 W ANDERSON LA, AUSTIN TX, 78757",38977,"RETAIL CENTER","1977",18.737,55.27,"",NA,NA,NA,NA,"3300 W ANDERSON LA
AUSTIN, TX 78757
(30.361276, -97.742483)","TIG Real Estate Services","30.361276, -97.742483",30.361276,-97.742483
"1886",2017,"187865","512 E RIVERSIDE DR, AUSTIN TX, 78704","512 E RIVERSIDE DR, AUSTIN TX, 78704",23390,"OFFICE MED 10-35","1968",17.914,78.65,"",NA,NA,NA,NA,"512 E RIVERSIDE DR
AUSTIN, TX 78704
(30.252394, -97.742097)","Granite Properties of Texas","30.252394, -97.742097",30.252394,-97.742097
"1887",2017,"505340","301 W HOWARD LA, AUSTIN TX, 78753","301 W HOWARD LA, AUSTIN TX, 78753",265138,"OFFICE LG > 35000 (W/sqft > 5)","1998",32.564,93.15,"",NA,NA,NA,NA,"301 W HOWARD LA
AUSTIN, TX 78753
(30.418076, -97.658841)","Casa Marco TX II LLC","30.418076, -97.658841",30.418076,-97.658841
"1888",2017,"767636","3311 ESPERANZA CROSSING, AUSTIN TX, 78758","3311 ESPERANZA CROSSING, AUSTIN TX, 78758",139955,"RETAIL CENTER","2006",12.627,24.94,"",NA,NA,NA,NA,"3311 ESPERANZA CROSSING
AUSTIN, TX 78758
(30.400545, -97.7268)","Macy's","30.400545, -97.7268",30.400545,-97.7268
"1889",2017,"194689","625 E 10TH ST, AUSTIN TX, 78701","625 E 10TH ST, AUSTIN TX, 78701",118936,"OFFICE LG > 35000","1984",33.723,63.73,"",NA,NA,NA,NA,"625 E 10TH ST
AUSTIN, TX 78701
(30.269862, -97.734501)","Austin Energy","30.269862, -97.734501",30.269862,-97.734501
"1890",2017,"191207","507 CALLES ST Austin TX 78702","507 CALLES ST Austin TX 78702",84980,"INDUSTRIAL","1947",7.833,31.25,"",NA,NA,NA,NA,"507 CALLES ST
Austin, TX 78702
(30.258297, -97.712704)","3423 Holdings, LLC","30.258297, -97.712704",30.258297,-97.712704
"1891",2017,"310847","300 WOODWARD ST, AUSTIN TX, 78704","BMHW - BMH West Casita",619612,"EDUCATIONAL FACILITY",".",NA,NA,"04/10/2017 12:00:00 AM",NA,5743,NA,NA,"300 WOODWARD ST
AUSTIN, TX 78704
(30.227797, -97.756258)","St. Edward's University","30.227797, -97.756258",30.227797,-97.756258
"1892",2017,"187758","71 STRANDTMAN CV, AUSTIN TX, 78702","71 STRANDTMAN CV, AUSTIN TX, 78702",64146,"INDUSTRIAL (W/sqft > 3)","1987",168.159,99.38,"",NA,NA,NA,NA,"71 STRANDTMAN CV
AUSTIN, TX 78702
(30.249931, -97.695654)","Borden Dairy Co. of Texas LLC","30.249931, -97.695654",30.249931,-97.695654
"1893",2017,"119472","3309 KERBEY LA, AUSTIN TX, 78703","3309 KERBEY LA, AUSTIN TX, 78703",45179,"EDUCATIONAL FACILITY","1939",2.008,63.58,"",NA,NA,NA,NA,"3309 KERBEY LA
AUSTIN, TX 78703
(30.305365, -97.751457)","AISD","30.305365, -97.751457",30.305365,-97.751457
"1894",2017,"283145","517 S PLEASANT VALLEY RD, AUSTIN TX, 78741","517 S PLEASANT VALLEY RD, AUSTIN TX, 78741",15536,"CITY OF AUSTIN","1990",40.803,95.24,"",NA,NA,NA,NA,"517 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.245534, -97.715259)","Austin Energy","30.245534, -97.715259",30.245534,-97.715259
"1895",2017,"841539, 779030","500 E St Johns Ave, Austin, TX 78752","500 E St Johns Ave, Austin, TX 78752",66568,"CONGREGATION FACILITY","1969",13.685,10.68,"",NA,NA,NA,NA,"500 E St Johns Ave
Austin, TX 78752
(30.334035, -97.706726)","Austin Stone Community Church","30.334035, -97.706726",30.334035,-97.706726
"1896",2017,"237448","7301 BURNET RD, AUSTIN TX, 78757","7301 Burnet Building one",81244,"RETAIL CENTER","1970",NA,NA,"04/14/2017 12:00:00 AM",NA,22983,NA,NA,"7301 BURNET RD
AUSTIN, TX 78757
(30.349253, -97.735103)","Blue Ocean Energy","30.349253, -97.735103",30.349253,-97.735103
"1897",2017,"316308","700 E ST ELMO RD, AUSTIN TX, 78745","700 E. St. Elmo",37901,"INDUSTRIAL (W/sqft > 3)","1983",NA,NA,"05/15/2017 12:00:00 AM",55.7,38000,NA,NA,"700 E ST ELMO RD
AUSTIN, TX 78745
(30.215256, -97.758171)","Endeavor Real Estate Group","30.215256, -97.758171",30.215256,-97.758171
"1898",2017,"119489","3501 MILLS AVE, AUSTIN TX, 78703","3501 MILLS AVE, AUSTIN TX, 78703",103520,"DORMITORY\RETIREMENT FACILITY","1969",20.101,53.09,"",NA,NA,NA,NA,"3501 MILLS AVE
AUSTIN, TX 78703
(30.305798, -97.749224)","Seton Shoal Creek Hospital","30.305798, -97.749224",30.305798,-97.749224
"1899",2017,"464213","3505 MONTOPOLIS DR, AUSTIN TX, 78744","3505 MONTOPOLIS DR, AUSTIN TX, 78744",79789,"","",0.562,3.08,"",NA,NA,NA,NA,"3505 MONTOPOLIS DR
AUSTIN, TX 78744
(30.207919, -97.714987)","LCRA","30.207919, -97.714987",30.207919,-97.714987
"1900",2017,"783932","3401 ED BLUESTEIN BLVD AUSTIN TX 78721","3401 ED BLUESTEIN BLVD AUSTIN TX 78721",18336,"INDUSTRIAL (W/sqft > 3)","1971",39.561,NA,"",NA,NA,NA,NA,"3401 ED BLUESTEIN BLVD
AUSTIN, TX 78721
(30.26937, -97.66959)","DEPOSITION TECHNOLOGY INC","30.26937, -97.66959",30.26937,-97.66959
"1901",2017,"291807","4009 COMMERCIAL CENTER DR, AUSTIN TX, 78744","4009 COMMERCIAL CENTER DR, AUSTIN TX, 78744",37600,"INDUSTRIAL","1995",5.214,34.79,"",NA,NA,NA,NA,"4009 COMMERCIAL CENTER DR
AUSTIN, TX 78744
(30.211133, -97.74102)","Live Oak Gottesman","30.211133, -97.74102",30.211133,-97.74102
"1902",2017,"552235","5500 Ross Road, Austin, TX 78617","5500 Ross Road, Austin, TX 78617",128581,"","",15.955,NA,"",NA,NA,NA,NA,"5500 Ross Road
Austin, TX 78617
(30.172525, -97.621201)","Del Valle ISD","30.172525, -97.621201",30.172525,-97.621201
"1903",2017,"187773","611 S CONGRESS AVE, AUSTIN TX, 78704","611 S CONGRESS AVE, AUSTIN TX, 78704",53680,"OFFICE LG > 35000 (W/sqft > 5)","1972",11.731,17.81,"",NA,NA,NA,NA,"611 S CONGRESS AVE
AUSTIN, TX 78704
(30.255826, -97.747362)","Monterey & Great Pacific","30.255826, -97.747362",30.255826,-97.747362
"1904",2017,"233502","6415 BURNET LA, AUSTIN TX, 78757","6415 BURNET LA, AUSTIN TX, 78757",14675,"RETAIL CENTER","1965",12.517,27.51,"",NA,NA,NA,NA,"6415 BURNET LA
AUSTIN, TX 78757
(30.338994, -97.738945)","LEJM Holdings Ltd","30.338994, -97.738945",30.338994,-97.738945
"1905",2017,"754869","5011 W SLAUGHTER LA, AUSTIN TX, 78749","5011 W SLAUGHTER LA, AUSTIN TX, 78749",4740,"","2008",0,NA,"04/14/2017 12:00:00 AM",NA,NA,NA,NA,"5011 W SLAUGHTER LA
AUSTIN, TX 78749
(30.199506, -97.863812)","United Heritage Credit Union","30.199506, -97.863812",30.199506,-97.863812
"1906",2017,"251442","8627 N MOPAC EXPY, AUSTIN TX, 78759","8627 N Mopac",46411,"OFFICE LG > 35000 (W/sqft > 5)","1985",NA,NA,"04/22/2017 12:00:00 AM",72.3,49560,NA,NA,"8627 N MOPAC EXPY
AUSTIN, TX 78759
(30.374004, -97.739851)","Blue Ocean Energy","30.374004, -97.739851",30.374004,-97.739851
"1907",2017,"194183","500 W 5 ST AUSTIN TX 78701","500 W 5 ST AUSTIN TX 78701",192611,"OFFICE LG > 35000","2013",26.133,NA,"",NA,NA,NA,NA,"500 W 5 ST
AUSTIN, TX 78701
(30.26846, -97.747892)","Endeavor","30.26846, -97.747892",30.26846,-97.747892
"1908",2017,"187706","3410 E CESAR CHAVEZ ST, AUSTIN TX, 78702","3410 E CESAR CHAVEZ ST, AUSTIN TX, 78702",26946,"WAREHOUSE","1957",0.561,6.67,"",NA,NA,NA,NA,"3410 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.251864, -97.705871)","Hull Supply Co., Inc.","30.251864, -97.705871",30.251864,-97.705871
"1909",2017,"796271","5012 LANCASTER DR AUSTIN TX 78723","5012 LANCASTER DR AUSTIN TX 78723",85091,"MOTEL\HOTEL","2013",5.233,NA,"",NA,NA,NA,NA,"5012 LANCASTER DR
AUSTIN, TX 78723
(30.307037, -97.7068)","Moody National Lancaster-Austin Holdings LLC","30.307037, -97.7068",30.307037,-97.7068
"1910",2017,"783944","6014 TECHNI CENTER DR, AUSTIN TX, 78721","6014 TECHNI CENTER DR, AUSTIN TX, 78721",20000,"INDUSTRIAL","1980",2.354,33.75,"",NA,NA,NA,NA,"6014 TECHNI CENTER DR
AUSTIN, TX 78721
(30.276467, -97.669631)","Live Oak","30.276467, -97.669631",30.276467,-97.669631
"1911",2017,"291821","4501 BURLESON RD, AUSTIN TX, 78741","4501 BURLESON RD, AUSTIN TX, 78741",222230,"INDUSTRIAL","1983",7.227,47.08,"",NA,NA,NA,NA,"4501 BURLESON RD
AUSTIN, TX 78741
(30.214093, -97.733688)","BMC","30.214093, -97.733688",30.214093,-97.733688
"1912",2017,"423562","4807 SPICEWOOD SPRINGS RD Austin TX 78759","4807 SPICEWOOD SPRINGS RD Austin TX 78759",27493,"OFFICE LG > 35000","1985",12.581,23.53,"",NA,NA,NA,NA,"4807 SPICEWOOD SPRINGS RD
Austin, TX 78759
(30.376236, -97.763556)","Keystone Direct LLC","30.376236, -97.763556",30.376236,-97.763556
"1913",2017,"135733","7200 N MOPAC EXPY, STE 450, AUSTIN TX, 78731","7200 N Mopac",86338,"OFFICE LG > 35000","1984",NA,NA,"05/02/2017 12:00:00 AM",61,86338,NA,NA,"7200 N MOPAC EXPY
AUSTIN, TX 78731
(30.354368, -97.748153)","Blue Ocean Energy","30.354368, -97.748153",30.354368,-97.748153
"1914",2017,"312561","3708 WOODBURY DR, AUSTIN TX, 78704","3708 WOODBURY DR, AUSTIN TX, 78704",28125,"INDUSTRIAL","1963",7.512,53.44,"",NA,NA,NA,NA,"3708 WOODBURY DR
AUSTIN, TX 78704
(30.224902, -97.759821)","Paleo Ventures, Ltd.","30.224902, -97.759821",30.224902,-97.759821
"1915",2017,"464994","5700 S MOPAC EXPY, AUSTIN TX, 78749","5700 S MOPAC EXPY, AUSTIN TX, 78749",160651,"OFFICE LG > 35000","1998",0.619,13.01,"",NA,NA,NA,NA,"5700 S MOPAC EXPY
AUSTIN, TX 78749
(30.228522, -97.829854)","AQUILA","30.228522, -97.829854",30.228522,-97.829854
"1916",2017,"295741","4210 FELTER LN Austin TX 78753","4210 FELTER LN Austin TX 78753",12000,"INDUSTRIAL","1975",4.688,24.76,"",NA,NA,NA,NA,"4210 FELTER LN
Austin, TX 78753
(30.19611, -97.70619)","Travis Business Park Ltd","30.19611, -97.70619",30.19611,-97.70619
"1917",2017,"718377","4214 N Quinlan Park Rd Austin Texas 78732","4214 N Quinlan Park Rd",21288,"RETAIL CENTER","2006",NA,NA,"05/18/2017 12:00:00 AM",NA,21099,NA,NA,"4214 N Quinlan Park Rd
Austin, Texas 78732
(30.381302, -97.884532)","Blue Ocean Energy","30.381302, -97.884532",30.381302,-97.884532
"1918",2017,"291825","3900 DROSSETT DR, AUSTIN TX, 78744","3900 DROSSETT DR, AUSTIN TX, 78744",117162,"INDUSTRIAL","1983",4.74,46.46,"",NA,NA,NA,NA,"3900 DROSSETT DR
AUSTIN, TX 78744
(30.211095, -97.732708)","illumitex","30.211095, -97.732708",30.211095,-97.732708
"1919",2017,"760881, 760883","4901 FREIDRICH LA, AUSTIN TX, 78744","4901 FREIDRICH LA, AUSTIN TX, 78744",395025,"INDUSTRIAL","2002",5.933,NA,"",NA,NA,NA,NA,"4901 FREIDRICH LA
AUSTIN, TX 78744
(30.204435, -97.753187)","Endeavor Real Estate Group","30.204435, -97.753187",30.204435,-97.753187
"1920",2017,"192880","300 E 4TH ST, AUSTIN TX, 78701","300 E 4TH ST, AUSTIN TX, 78701",283863,"AE CHILLED WATER LOOP","2005",12.617,50,"",NA,NA,NA,NA,"300 E 4TH ST
AUSTIN, TX 78701
(30.265372, -97.740518)","Finley Company","30.265372, -97.740518",30.265372,-97.740518
"1921",2017,"235086","7121 N LAMAR BLVD, AUSTIN TX, 78752","7121 N LAMAR BLVD, AUSTIN TX, 78752",11480,"WAREHOUSE","1945",0.203,35.87,"",NA,NA,NA,NA,"7121 N LAMAR BLVD
AUSTIN, TX 78752
(30.339076, -97.718056)","Outplan LLC","30.339076, -97.718056",30.339076,-97.718056
"1922",2017,"442652","8700 CAMERON RD, AUSTIN TX, 78754","8700 CAMERON RD, AUSTIN TX, 78754",119480,"INDUSTRIAL (W/sqft > 3)","1999",24.238,86.04,"",NA,NA,NA,NA,"8700 CAMERON RD
AUSTIN, TX 78754
(30.34449, -97.678075)","HPI","30.34449, -97.678075",30.34449,-97.678075
"1923",2017,"508017","3200 SPIRIT OF TEXAS DR Austin TX 78719","3200 SPIRIT OF TEXAS DR Austin TX 78719",57100,"INDUSTRIAL","1999",2.997,NA,"",NA,NA,NA,NA,"3200 SPIRIT OF TEXAS DR
Austin, TX 78719
(30.207826, -97.671244)","AFCO Cargo AUS LLC","30.207826, -97.671244",30.207826,-97.671244
